Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Ensemble accuracy on global test data 21.123, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.059, Central accuracy on global test data 26.382, Ensemble accuracy on global test data 19.092, Local accuracy on global train data 10.195, Local accuracy on local train data 98.600
Round   2, Devices participated 10, Average loss 0.054, Central accuracy on global test data 42.648, Ensemble accuracy on global test data 41.855, Local accuracy on global train data 10.408, Local accuracy on local train data 98.483
Round   3, Devices participated 10, Average loss 0.034, Central accuracy on global test data 50.601, Ensemble accuracy on global test data 46.621, Local accuracy on global train data 10.710, Local accuracy on local train data 98.867
Round   4, Devices participated 10, Average loss 0.058, Central accuracy on global test data 49.028, Ensemble accuracy on global test data 42.998, Local accuracy on global train data 13.071, Local accuracy on local train data 98.583
Round   5, Devices participated 10, Average loss 0.021, Central accuracy on global test data 48.337, Ensemble accuracy on global test data 42.510, Local accuracy on global train data 11.787, Local accuracy on local train data 99.400
Round   6, Devices participated 10, Average loss 0.046, Central accuracy on global test data 59.275, Ensemble accuracy on global test data 57.363, Local accuracy on global train data 12.847, Local accuracy on local train data 98.633
Round   7, Devices participated 10, Average loss 0.027, Central accuracy on global test data 35.286, Ensemble accuracy on global test data 28.281, Local accuracy on global train data 11.926, Local accuracy on local train data 99.133
Round   8, Devices participated 10, Average loss 0.081, Central accuracy on global test data 58.874, Ensemble accuracy on global test data 47.188, Local accuracy on global train data 12.529, Local accuracy on local train data 97.867
Round   9, Devices participated 10, Average loss 0.022, Central accuracy on global test data 58.283, Ensemble accuracy on global test data 52.285, Local accuracy on global train data 18.379, Local accuracy on local train data 99.500
Round  10, Devices participated 10, Average loss 0.016, Central accuracy on global test data 56.821, Ensemble accuracy on global test data 50.420, Local accuracy on global train data 22.300, Local accuracy on local train data 99.600
Round  11, Devices participated 10, Average loss 0.045, Central accuracy on global test data 61.268, Ensemble accuracy on global test data 59.775, Local accuracy on global train data 16.577, Local accuracy on local train data 98.983
Round  12, Devices participated 10, Average loss 0.033, Central accuracy on global test data 57.402, Ensemble accuracy on global test data 48.438, Local accuracy on global train data 18.047, Local accuracy on local train data 99.100
Round  13, Devices participated 10, Average loss 0.021, Central accuracy on global test data 68.029, Ensemble accuracy on global test data 57.559, Local accuracy on global train data 18.220, Local accuracy on local train data 99.300
Round  14, Devices participated 10, Average loss 0.018, Central accuracy on global test data 65.825, Ensemble accuracy on global test data 53.965, Local accuracy on global train data 24.502, Local accuracy on local train data 99.450
Round  15, Devices participated 10, Average loss 0.016, Central accuracy on global test data 69.271, Ensemble accuracy on global test data 58.145, Local accuracy on global train data 18.728, Local accuracy on local train data 99.467
Round  16, Devices participated 10, Average loss 0.018, Central accuracy on global test data 78.125, Ensemble accuracy on global test data 70.410, Local accuracy on global train data 18.774, Local accuracy on local train data 99.333
Round  17, Devices participated 10, Average loss 0.023, Central accuracy on global test data 72.877, Ensemble accuracy on global test data 67.832, Local accuracy on global train data 30.991, Local accuracy on local train data 99.250
Round  18, Devices participated 10, Average loss 0.015, Central accuracy on global test data 71.334, Ensemble accuracy on global test data 67.324, Local accuracy on global train data 32.617, Local accuracy on local train data 99.567
Round  19, Devices participated 10, Average loss 0.014, Central accuracy on global test data 63.972, Ensemble accuracy on global test data 54.414, Local accuracy on global train data 26.106, Local accuracy on local train data 99.517
Round  20, Devices participated 10, Average loss 0.017, Central accuracy on global test data 73.287, Ensemble accuracy on global test data 69.502, Local accuracy on global train data 29.492, Local accuracy on local train data 99.450
Round  21, Devices participated 10, Average loss 0.026, Central accuracy on global test data 77.664, Ensemble accuracy on global test data 71.387, Local accuracy on global train data 29.690, Local accuracy on local train data 99.350
Round  22, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.342, Ensemble accuracy on global test data 77.070, Local accuracy on global train data 26.631, Local accuracy on local train data 99.683
Round  23, Devices participated 10, Average loss 0.013, Central accuracy on global test data 60.126, Ensemble accuracy on global test data 50.781, Local accuracy on global train data 28.770, Local accuracy on local train data 99.583
Round  24, Devices participated 10, Average loss 0.016, Central accuracy on global test data 74.079, Ensemble accuracy on global test data 65.967, Local accuracy on global train data 29.629, Local accuracy on local train data 99.350
Round  25, Devices participated 10, Average loss 0.015, Central accuracy on global test data 82.392, Ensemble accuracy on global test data 78.975, Local accuracy on global train data 26.304, Local accuracy on local train data 99.517
Round  26, Devices participated 10, Average loss 0.035, Central accuracy on global test data 73.848, Ensemble accuracy on global test data 69.053, Local accuracy on global train data 29.055, Local accuracy on local train data 98.917
Round  27, Devices participated 10, Average loss 0.016, Central accuracy on global test data 66.446, Ensemble accuracy on global test data 61.875, Local accuracy on global train data 30.667, Local accuracy on local train data 99.533
Round  28, Devices participated 10, Average loss 0.022, Central accuracy on global test data 74.649, Ensemble accuracy on global test data 68.066, Local accuracy on global train data 22.688, Local accuracy on local train data 99.383
Round  29, Devices participated 10, Average loss 0.023, Central accuracy on global test data 77.794, Ensemble accuracy on global test data 73.369, Local accuracy on global train data 25.112, Local accuracy on local train data 99.183
Round  30, Devices participated 10, Average loss 0.015, Central accuracy on global test data 79.087, Ensemble accuracy on global test data 70.752, Local accuracy on global train data 26.172, Local accuracy on local train data 99.567
Round  31, Devices participated 10, Average loss 0.034, Central accuracy on global test data 82.782, Ensemble accuracy on global test data 77.695, Local accuracy on global train data 32.900, Local accuracy on local train data 99.117
Round  32, Devices participated 10, Average loss 0.020, Central accuracy on global test data 84.024, Ensemble accuracy on global test data 78.203, Local accuracy on global train data 37.673, Local accuracy on local train data 99.417
Round  33, Devices participated 10, Average loss 0.009, Central accuracy on global test data 77.093, Ensemble accuracy on global test data 71.943, Local accuracy on global train data 39.153, Local accuracy on local train data 99.750
Round  34, Devices participated 10, Average loss 0.016, Central accuracy on global test data 77.304, Ensemble accuracy on global test data 71.523, Local accuracy on global train data 27.234, Local accuracy on local train data 99.433
Round  35, Devices participated 10, Average loss 0.026, Central accuracy on global test data 81.711, Ensemble accuracy on global test data 73.906, Local accuracy on global train data 29.810, Local accuracy on local train data 99.300
Round  36, Devices participated 10, Average loss 0.017, Central accuracy on global test data 75.070, Ensemble accuracy on global test data 69.229, Local accuracy on global train data 33.347, Local accuracy on local train data 99.450
Round  37, Devices participated 10, Average loss 0.036, Central accuracy on global test data 75.992, Ensemble accuracy on global test data 71.729, Local accuracy on global train data 22.822, Local accuracy on local train data 98.950
Round  38, Devices participated 10, Average loss 0.015, Central accuracy on global test data 85.036, Ensemble accuracy on global test data 80.889, Local accuracy on global train data 30.540, Local accuracy on local train data 99.483
Round  39, Devices participated 10, Average loss 0.008, Central accuracy on global test data 86.448, Ensemble accuracy on global test data 83.594, Local accuracy on global train data 44.231, Local accuracy on local train data 99.750
Round  40, Devices participated 10, Average loss 0.012, Central accuracy on global test data 85.917, Ensemble accuracy on global test data 80.488, Local accuracy on global train data 32.766, Local accuracy on local train data 99.600
Round  41, Devices participated 10, Average loss 0.017, Central accuracy on global test data 82.462, Ensemble accuracy on global test data 77.285, Local accuracy on global train data 29.336, Local accuracy on local train data 99.550
Round  42, Devices participated 10, Average loss 0.015, Central accuracy on global test data 85.907, Ensemble accuracy on global test data 81.982, Local accuracy on global train data 33.604, Local accuracy on local train data 99.550
Round  43, Devices participated 10, Average loss 0.014, Central accuracy on global test data 86.068, Ensemble accuracy on global test data 82.822, Local accuracy on global train data 41.567, Local accuracy on local train data 99.650
Round  44, Devices participated 10, Average loss 0.009, Central accuracy on global test data 87.139, Ensemble accuracy on global test data 84.414, Local accuracy on global train data 43.323, Local accuracy on local train data 99.783
Round  45, Devices participated 10, Average loss 0.012, Central accuracy on global test data 87.800, Ensemble accuracy on global test data 84.844, Local accuracy on global train data 46.628, Local accuracy on local train data 99.767
Round  46, Devices participated 10, Average loss 0.010, Central accuracy on global test data 85.146, Ensemble accuracy on global test data 81.826, Local accuracy on global train data 46.440, Local accuracy on local train data 99.650
Round  47, Devices participated 10, Average loss 0.011, Central accuracy on global test data 86.639, Ensemble accuracy on global test data 82.969, Local accuracy on global train data 39.131, Local accuracy on local train data 99.667
Round  48, Devices participated 10, Average loss 0.041, Central accuracy on global test data 85.056, Ensemble accuracy on global test data 84.619, Local accuracy on global train data 44.644, Local accuracy on local train data 99.333
Round  49, Devices participated 10, Average loss 0.012, Central accuracy on global test data 86.078, Ensemble accuracy on global test data 82.168, Local accuracy on global train data 33.052, Local accuracy on local train data 99.700
Round  50, Devices participated 10, Average loss 0.010, Central accuracy on global test data 87.169, Ensemble accuracy on global test data 84.043, Local accuracy on global train data 39.602, Local accuracy on local train data 99.683
